Utility_Number,Utility_Name,State_FIPS,State_Name,NERC_Region_Code,NERC_Region_Long_Name,NERC_Region_Short_Name
295,"City of Alexandria - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
296,"Alfalfa Electric Coop, Inc",40000,Oklahoma,7,Southwest Power Pool,SPP
298,"City of Alexandria - (LA)",22000,Louisiana,7,Southwest Power Pool,SPP
305,"Alger-Delta Coop Electric Assn",26000,Michigan,11,Midcontinent Independent System Operator,MISO
307,"Algoma Utility Comm",55000,Wisconsin,11,Midcontinent Independent System Operator,MISO
308,"City of Acworth - (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
309,"City of Algona - (IA)",19000,Iowa,3,Midwest Reliability Organization,MRO
329,"Allamakee-Clayton El Coop, Inc",19000,Iowa,3,Midwest Reliability Organization,MRO
332,"Allegheny Electric Coop Inc",42000,Pennsylvania,5,Reliability First Corporation,RFC
343,"AEP Generating Company",39000,Ohio,5,Reliability First Corporation,RFC
367,"City of Alliance- (NE)",31000,Nebraska,3,Midwest Reliability Organization,MRO
392,"Alpena Power Co",26000,Michigan,5,Reliability First Corporation,RFC
407,"Altamaha Electric Member Corp",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
416,"City of Altus - (OK)",40000,Oklahoma,7,Southwest Power Pool,SPP
471,"Amana Society Service Co",19000,Iowa,3,Midwest Reliability Organization,MRO
540,"BP Energy Company",48000,Texas,9,Texas Reliability Entity,TRE
554,"City of Ames - (IA)",19000,Iowa,3,Midwest Reliability Organization,MRO
560,"City of Amherst- (OH)",39000,Ohio,5,Reliability First Corporation,RFC
562,"Amicalola Electric Member Corp",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
571,"City of Amory",28000,Mississippi,6,Southeastern Electric Reliability Council,SERC
577,"City of Alcoa Utilities",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
590,"City of Anaheim - (CA)",6000,California,8,Western Electricity Coordinating Council,WECC
599,"Anchorage Municipal Light and Power",2000,Alaska,1,Alaska,AK
604,"City of Andalusia",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
636,"City of Anderson - (IN)",18000,Indiana,5,Reliability First Corporation,RFC
659,"American Transmission Co",55000,Wisconsin,5,Reliability First Corporation,RFC
689,"Connexus Energy",27000,Minnesota,3,Midwest Reliability Organization,MRO
690,"City of Bardstown - (KY)",21000,Kentucky,5,Reliability First Corporation,RFC
691,"City of Anoka",27000,Minnesota,3,Midwest Reliability Organization,MRO
694,"Anza Electric Coop Inc",6000,California,8,Western Electricity Coordinating Council,WECC
712,"Arkansas River Power Authority",8000,Colorado,8,Western Electricity Coordinating Council,WECC
719,"Town of Apex- (NC)",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
727,"Appalachian Electric Coop",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
733,"Appalachian Power Co",39000,Ohio,5,Reliability First Corporation,RFC
750,"Arab Electric Coop Inc",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
796,"Arizona Electric Pwr Coop Inc",4000,Arizona,8,Western Electricity Coordinating Council,WECC
798,"Arizona Power Authority",4000,Arizona,8,Western Electricity Coordinating Council,WECC
803,"Arizona Public Service Co",4000,Arizona,8,Western Electricity Coordinating Council,WECC
807,"Arkansas Electric Coop Corp",5000,Arkansas,7,Southwest Power Pool,SPP
814,"Entergy Arkansas Inc",5000,Arkansas,6,Southeastern Electric Reliability Council,SERC
817,"Arkansas Valley Elec Coop Corp",5000,Arkansas,6,Southeastern Electric Reliability Council,SERC
828,"City of Arlington - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
887,"Arrowhead Electric Coop, Inc",27000,Minnesota,3,Midwest Reliability Organization,MRO
907,"City of Ashland - (OR)",41000,Oregon,8,Western Electricity Coordinating Council,WECC
918,"City of Aspen- (CO)",8000,Colorado,8,Western Electricity Coordinating Council,WECC
924,"Associated Electric Coop, Inc",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
942,"Atchison-Holt Electric Coop",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
944,"City of Athens - (AL)",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
947,"Athens Utility Board",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
963,"Atlantic City Electric Co",34000,New Jersey,5,Reliability First Corporation,RFC
965,"Atlantic Municipal Utilities",19000,Iowa,3,Midwest Reliability Organization,MRO
970,"Homefield Energy",17000,Illinois,5,Reliability First Corporation,RFC
993,"Auburn Board of Public Works",31000,Nebraska,3,Midwest Reliability Organization,MRO
994,"City of Auburn - (IN)",18000,Indiana,5,Reliability First Corporation,RFC
998,"City of Augusta - (KS)",20000,Kansas,7,Southwest Power Pool,SPP
1009,"City of Austin - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
1015,"Austin Energy",48000,Texas,9,Texas Reliability Entity,TRE
1024,"City of Ava - (MO)",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
1036,"Town of Ayden - (NC)",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
1050,"City of Azusa",6000,California,8,Western Electricity Coordinating Council,WECC
1062,"BARC Electric Coop Inc",51000,Virginia,6,Southeastern Electric Reliability Council,SERC
1101,"Bagley Public Utilities Comm",27000,Minnesota,3,Midwest Reliability Organization,MRO
1148,"City of Baldwin City- (KS)",20000,Kansas,7,Southwest Power Pool,SPP
1149,"Baldwin County El Member Corp",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
1167,"Baltimore Gas & Electric Co",24000,Maryland,5,Reliability First Corporation,RFC
1169,"Bailey County Elec Coop Assn",48000,Texas,7,Southwest Power Pool,SPP
1175,"Bandera Electric Coop, Inc",48000,Texas,9,Texas Reliability Entity,TRE
1176,"City of Bandon - (OR)",41000,Oregon,8,Western Electricity Coordinating Council,WECC
1179,"Emera Maine",23000,Maine,4,Northeast Power Coordinating Council,NPCC
1181,"Village of Bangor - (WI)",55000,Wisconsin,3,Midwest Reliability Organization,MRO
1192,"City of Banning - (CA)",6000,California,8,Western Electricity Coordinating Council,WECC
1196,"Village of Baraga - (MI)",26000,Michigan,11,Midcontinent Independent System Operator,MISO
1201,"Barbourville Utility Comm",21000,Kentucky,5,Reliability First Corporation,RFC
1233,"City of Barnesville - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
1251,"Barron Electric Coop",55000,Wisconsin,3,Midwest Reliability Organization,MRO
1273,"Bartlett Electric Coop, Inc",48000,Texas,9,Texas Reliability Entity,TRE
1276,"Barrow Utils & Elec Coop, Inc",2000,Alaska,1,Alaska,AK
1279,"Barry Electric Coop",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
1283,"Bartholomew County Rural E M C",18000,Indiana,5,Reliability First Corporation,RFC
1300,"City of Bartow - (FL)",12000,Florida,12,Florida Reliability Coordinating Council,FRCC
1301,"Barton County Elec Coop, Inc",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
1307,"Basin Electric Power Coop",38000,North Dakota,7,Southwest Power Pool,SPP
1325,"City of Batavia - (IL)",17000,Illinois,5,Reliability First Corporation,RFC
1366,"City of Bay City - (MI)",26000,Michigan,5,Reliability First Corporation,RFC
1367,"Bayfield Electric Coop, Inc",55000,Wisconsin,3,Midwest Reliability Organization,MRO
1417,"Beartooth Electric Coop, Inc",30000,Montana,8,Western Electricity Coordinating Council,WECC
1427,"City of Beatrice - (NE)",31000,Nebraska,7,Southwest Power Pool,SPP
1456,"Town of Bedford - (VA)",51000,Virginia,5,Reliability First Corporation,RFC
1458,"Beauregard Electric Coop, Inc",22000,Louisiana,6,Southeastern Electric Reliability Council,SERC
1523,"Town of Belmont - (MA)",25000,Massachusetts,4,Northeast Power Coordinating Council,NPCC
1525,"City of Beloit - (KS)",20000,Kansas,7,Southwest Power Pool,SPP
1529,"Beltrami Electric Coop, Inc",27000,Minnesota,3,Midwest Reliability Organization,MRO
1566,"City of Bennettsville - (SC)",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
1572,"Badger Power Marketing Authority",55000,Wisconsin,5,Reliability First Corporation,RFC
1573,"City of Benson - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
1578,"Benton County",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
1579,"PUD No 1 of Benton County",53000,Washington,8,Western Electricity Coordinating Council,WECC
1581,"City of Benton - (AR)",5000,Arkansas,6,Southeastern Electric Reliability Council,SERC
1582,"City of Benton - (KY)",21000,Kentucky,6,Southeastern Electric Reliability Council,SERC
1586,"City of Bentonville - (AR)",5000,Arkansas,7,Southwest Power Pool,SPP
1591,"Big Country Electric Coop, Inc",48000,Texas,9,Texas Reliability Entity,TRE
1601,"City of Beresford",46000,South Dakota,3,Midwest Reliability Organization,MRO
1611,"Linde Energy Services, Inc.",34000,New Jersey,5,Reliability First Corporation,RFC
1613,"Berkeley Electric Coop Inc",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
1625,"Benton Rural Electric Assn",53000,Washington,8,Western Electricity Coordinating Council,WECC
1640,"City of Bessemer Utilities",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
1675,"Big Horn Rural Electric Co",56000,Wyoming,8,Western Electricity Coordinating Council,WECC
1683,"Big Horn County Elec Coop, Inc",30000,Montana,8,Western Electricity Coordinating Council,WECC
1692,"Big Rivers Electric Corp",21000,Kentucky,6,Southeastern Electric Reliability Council,SERC
1708,"Big Sandy Rural Elec Coop Corp",21000,Kentucky,5,Reliability First Corporation,RFC
1723,"Big Bend Electric Coop, Inc",53000,Washington,8,Western Electricity Coordinating Council,WECC
1736,"Blachly-Lane County Coop El Assn",41000,Oregon,8,Western Electricity Coordinating Council,WECC
1738,"Bonneville Power Administration",41000,Oregon,8,Western Electricity Coordinating Council,WECC
1763,"Black River Electric Coop, Inc - (SC)",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
1764,"Black Diamond Power Co",54000,West Virginia,5,Reliability First Corporation,RFC
1769,"Black Hills Electric Coop, Inc",46000,South Dakota,8,Western Electricity Coordinating Council,WECC
1775,"Black River Electric Coop - (MO)",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
1776,"City of Black River Falls",55000,Wisconsin,11,Midcontinent Independent System Operator,MISO
1780,"Black Warrior Elec Member Corp",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
1818,"City of Blaine - (WA)",53000,Washington,8,Western Electricity Coordinating Council,WECC
1857,"Block Island Power Co",44000,Rhode Island,4,Northeast Power Coordinating Council,NPCC
1869,"City of Bloomfield - (IA)",19000,Iowa,6,Southeastern Electric Reliability Council,SERC
1883,"Blue Earth Light & Water",27000,Minnesota,3,Midwest Reliability Organization,MRO
1884,"BENCO Electric Cooperative",27000,Minnesota,3,Midwest Reliability Organization,MRO
1886,"Blue Grass Energy Coop Corp",21000,Kentucky,5,Reliability First Corporation,RFC
1889,"Blue Ridge Elec Member Corp - (NC)",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
1890,"Blue Ridge Electric Coop Inc - (SC)",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
1891,"Blue Ridge Mountain EMC - (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
1892,"Bluebonnet Electric Coop, Inc",48000,Texas,9,Texas Reliability Entity,TRE
1896,"City of Bluffton - (IN)",18000,Indiana,5,Reliability First Corporation,RFC
1898,"Bon Homme Yankton El Assn, Inc",46000,South Dakota,3,Midwest Reliability Organization,MRO
1913,"City of Boerne",48000,Texas,9,Texas Reliability Entity,TRE
1936,"Bolivar Energy Authority",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
1997,"City of Boscobel - (WI)",55000,Wisconsin,11,Midcontinent Independent System Operator,MISO
2001,"Boone Electric Coop",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
2008,"City of Boulder City - (NV)",32000,Nevada,8,Western Electricity Coordinating Council,WECC
2010,"City of Bountiful",49000,Utah,8,Western Electricity Coordinating Council,WECC
2049,"Bowie-Cass Electric Coop, Inc",48000,Texas,7,Southwest Power Pool,SPP
2054,"City of Bowling Green - (OH)",39000,Ohio,5,Reliability First Corporation,RFC
2056,"City of Bowling Green - (KY)",21000,Kentucky,6,Southeastern Electric Reliability Council,SERC
2089,"Bozrah Light & Power Company",9000,Connecticut,4,Northeast Power Coordinating Council,NPCC
2138,"Brainerd Public Utilities",27000,Minnesota,3,Midwest Reliability Organization,MRO
2144,"Town of Braintree - (MA)",25000,Massachusetts,4,Northeast Power Coordinating Council,NPCC
2152,"Powerex Corporation",-9999,Canada,8,Western Electricity Coordinating Council,WECC
2172,"Brazos Electric Power Coop Inc",48000,Texas,9,Texas Reliability Entity,TRE
2182,"City of Breckenridge- (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
2192,"Bremen Electric Light & Power Co",18000,Indiana,5,Reliability First Corporation,RFC
2194,"City of Brenham - (TX)",48000,Texas,9,Texas Reliability Entity,TRE
2206,"City of Brewster - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
2212,"Broad River Electric Coop, Inc",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
2215,"Bridger Valley Elec Assn, Inc",56000,Wyoming,8,Western Electricity Coordinating Council,WECC
2220,"Brigham City Corporation",49000,Utah,8,Western Electricity Coordinating Council,WECC
2247,"City of Bristol - (TN)",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
2248,"Bristol Virginia Utilities",51000,Virginia,6,Southeastern Electric Reliability Council,SERC
2273,"Brodhead Water & Lighting Comm",55000,Wisconsin,11,Midcontinent Independent System Operator,MISO
2277,"City of Broken Bow - (NE)",31000,Nebraska,3,Midwest Reliability Organization,MRO
2285,"City of Brookings - (SD)",46000,South Dakota,3,Midwest Reliability Organization,MRO
2316,"Brown County Rural Elec Assn",27000,Minnesota,3,Midwest Reliability Organization,MRO
2354,"Brown-Atchison E C A Inc",20000,Kansas,7,Southwest Power Pool,SPP
2394,"Burke-Divide Electric Coop Inc",38000,North Dakota,3,Midwest Reliability Organization,MRO
2409,"Brownsville Public Utilities Board",48000,Texas,9,Texas Reliability Entity,TRE
2411,"City of Brownsville",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
2439,"City of Bryan - (OH)",39000,Ohio,5,Reliability First Corporation,RFC
2442,"City of Bryan - (TX)",48000,Texas,9,Texas Reliability Entity,TRE
2481,"Cargill Power Markets LLC",27000,Minnesota,3,Midwest Reliability Organization,MRO
2485,"City of Buffalo - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
2487,"City of Buford",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
2502,"Buckeye Rural Elec Coop, Inc",39000,Ohio,5,Reliability First Corporation,RFC
2507,"City of Burbank Water and Power",6000,California,8,Western Electricity Coordinating Council,WECC
2545,"City of Burley - (ID)",16000,Idaho,8,Western Electricity Coordinating Council,WECC
2548,"City of Burlington Electric - (VT)",50000,Vermont,4,Northeast Power Coordinating Council,NPCC
2551,"City of Burlington - (KS)",20000,Kansas,7,Southwest Power Pool,SPP
2599,"Burt County Public Power Dist",31000,Nebraska,3,Midwest Reliability Organization,MRO
2641,"Butler Rural El Coop Assn, Inc - (KS)",20000,Kansas,7,Southwest Power Pool,SPP
2643,"Butler Public Power District - (NE)",31000,Nebraska,3,Midwest Reliability Organization,MRO
2650,"Borough of Butler - (NJ)",34000,New Jersey,5,Reliability First Corporation,RFC
2651,"Butler Rural Electric Coop Inc - (OH)",39000,Ohio,5,Reliability First Corporation,RFC
2652,"Butler County Rural Elec Coop - (IA)",19000,Iowa,3,Midwest Reliability Organization,MRO
2655,"Butte Electric Coop, Inc",46000,South Dakota,3,Midwest Reliability Organization,MRO
2678,"C & L Electric Coop Corp",5000,Arkansas,7,Southwest Power Pool,SPP
2773,"City of Cairo - (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
2774,"CMS Electric Coop Inc",20000,Kansas,7,Southwest Power Pool,SPP
2812,"City of Calhoun - (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
2830,"Calpine Power America LLC",48000,Texas,9,Texas Reliability Entity,TRE
2849,"Central Electric Power Assn - (MS)",28000,Mississippi,6,Southeastern Electric Reliability Council,SERC
2857,"Calpine Energy Services LP",48000,Texas,-9999,Missing,Missing
2888,"City of Cambridge - (NE)",31000,Nebraska,3,Midwest Reliability Organization,MRO
2890,"City of Camden",45000,South Carolina,6,Southeastern Electric Reliability Council,SERC
2900,"City of Cameron",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
2903,"Canoochee Electric Member Corp",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
2910,"City of Camilla",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
2911,"Canadian Valley Elec Coop, Inc",40000,Oklahoma,7,Southwest Power Pool,SPP
2955,"Canby Utility Board",41000,Oregon,8,Western Electricity Coordinating Council,WECC
2960,"Caney Fork Electric Coop, Inc",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
2961,"Caney Valley El Coop Assn, Inc",20000,Kansas,7,Southwest Power Pool,SPP
2974,"Canton Municipal Utilities",28000,Mississippi,6,Southeastern Electric Reliability Council,SERC
2982,"Cape Hatteras Elec Member Corp",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
2985,"Capital Electric Coop, Inc",38000,North Dakota,3,Midwest Reliability Organization,MRO
2986,"Cam Wal Electric Coop, Inc",46000,South Dakota,3,Midwest Reliability Organization,MRO
2998,"Carbon Power & Light, Inc",56000,Wyoming,8,Western Electricity Coordinating Council,WECC
3046,"Duke Energy Progress - (NC)",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
3075,"Carroll County - (TN)",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
3076,"Carroll Electric Coop, Inc - (OH)",39000,Ohio,5,Reliability First Corporation,RFC
3081,"Carroll Electric Member Corp - (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
3093,"Carroll Electric Coop Corp - (AR)",5000,Arkansas,7,Southwest Power Pool,SPP
3107,"Carteret-Craven El Member Corp",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
3108,"City of Cartersville - (GA)",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
3113,"City of Carthage - (MO)",29000,Missouri,7,Southwest Power Pool,SPP
3203,"Cedar Falls Utilities",19000,Iowa,3,Midwest Reliability Organization,MRO
3205,"Cedar-Knox Public Power Dist",31000,Nebraska,3,Midwest Reliability Organization,MRO
3208,"Cedarburg Light & Water Comm",55000,Wisconsin,11,Midcontinent Independent System Operator,MISO
3216,"City of Celina - (OH)",39000,Ohio,5,Reliability First Corporation,RFC
3222,"Central Alabama Electric Coop",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
3226,"Central Rural Electric Cooperative, Inc",40000,Oklahoma,-9999,Missing,Missing
3235,"City of Central City",31000,Nebraska,3,Midwest Reliability Organization,MRO
3236,"Central Electric Coop, Inc - (SD)",46000,South Dakota,3,Midwest Reliability Organization,MRO
3240,"Central Electric Coop Inc - (OR)",41000,Oregon,8,Western Electricity Coordinating Council,WECC
3242,"Central Electric Power Coop - (MO)",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
3245,"Central Florida Elec Coop, Inc",12000,Florida,12,Florida Reliability Coordinating Council,FRCC
3248,"Central Georgia El Member Corp",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
3249,"Central Hudson Gas & Elec Corp",36000,New York,4,Northeast Power Coordinating Council,NPCC
3250,"Central Electric Membership Corp. - (NC)",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
3255,"California Dept. of Water Resources",6000,California,8,Western Electricity Coordinating Council,WECC
3258,"Central Iowa Power Cooperative",19000,Iowa,3,Midwest Reliability Organization,MRO
3264,"Central Lincoln People's Ut Dt",41000,Oregon,8,Western Electricity Coordinating Council,WECC
3265,"Cleco Power LLC",22000,Louisiana,7,Southwest Power Pool,SPP
3266,"Central Maine Power Co",23000,Maine,4,Northeast Power Coordinating Council,NPCC
3268,"Central Missouri Elec Coop Inc",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
3271,"Central Nebraska Pub P&I Dist",31000,Nebraska,3,Midwest Reliability Organization,MRO
3273,"Central New Mexico El Coop, Inc",35000,New Mexico,8,Western Electricity Coordinating Council,WECC
3278,"AEP Texas Central Company",40000,Oklahoma,9,Texas Reliability Entity,TRE
3279,"Central Power Elec Coop, Inc",38000,North Dakota,3,Midwest Reliability Organization,MRO
3282,"Central Texas Elec Coop, Inc",48000,Texas,9,Texas Reliability Entity,TRE
3287,"Central Valley Elec Coop, Inc",35000,New Mexico,7,Southwest Power Pool,SPP
3291,"Central Virginia Electric Coop",51000,Virginia,6,Southeastern Electric Reliability Council,SERC
3293,"Central Wisconsin Elec Coop",55000,Wisconsin,3,Midwest Reliability Organization,MRO
3295,"City of Centralia - (WA)",53000,Washington,8,Western Electricity Coordinating Council,WECC
3314,"Chariton Valley Elec Coop, Inc",19000,Iowa,6,Southeastern Electric Reliability Council,SERC
3315,"Charles Mix Electric Assn, Inc",46000,South Dakota,3,Midwest Reliability Organization,MRO
3329,"Borough of Chambersburg",42000,Pennsylvania,5,Reliability First Corporation,RFC
3355,"City of Chanute",20000,Kansas,7,Southwest Power Pool,SPP
3400,"City of Chaska - (MN)",27000,Minnesota,3,Midwest Reliability Organization,MRO
3408,"City of Chattanooga - (TN)",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
3413,"PUD No 1 of Chelan County",53000,Washington,8,Western Electricity Coordinating Council,WECC
3420,"City of Cheney - (WA)",53000,Washington,8,Western Electricity Coordinating Council,WECC
3426,"Cherokee Electric Coop",1000,Alabama,6,Southeastern Electric Reliability Council,SERC
3435,"Cherry-Todd Electric Coop, Inc",46000,South Dakota,3,Midwest Reliability Organization,MRO
3436,"Cherryland Electric Coop Inc",26000,Michigan,5,Reliability First Corporation,RFC
3461,"Cheyenne Light Fuel & Power Co",56000,Wyoming,8,Western Electricity Coordinating Council,WECC
3470,"Cherokee County Elec Coop Assn",48000,Texas,9,Texas Reliability Entity,TRE
3475,"City of Chickamauga",13000,Georgia,6,Southeastern Electric Reliability Council,SERC
3477,"City of Chicopee - (MA)",25000,Massachusetts,4,Northeast Power Coordinating Council,NPCC
3478,"Cimarron Electric Coop",40000,Oklahoma,7,Southwest Power Pool,SPP
3486,"Chillicothe Municipal Utils",29000,Missouri,7,Southwest Power Pool,SPP
3495,"Chimney Rock Public Power Dist",31000,Nebraska,3,Midwest Reliability Organization,MRO
3498,"Chippewa Valley Electric Coop",55000,Wisconsin,3,Midwest Reliability Organization,MRO
3502,"Choctawhatche Elec Coop, Inc",12000,Florida,6,Southeastern Electric Reliability Council,SERC
3503,"Choptank Electric Coop, Inc",24000,Maryland,5,Reliability First Corporation,RFC
3519,"Central Minnesota Municipal Power Agency",27000,Minnesota,3,Midwest Reliability Organization,MRO
3522,"Chugach Electric Assn Inc",2000,Alaska,1,Alaska,AK
3527,"Choctaw Electric Coop Inc",40000,Oklahoma,7,Southwest Power Pool,SPP
3542,"Duke Energy Ohio Inc",39000,Ohio,5,Reliability First Corporation,RFC
3570,"CL Power Sales Eight LLC",6000,California,-9999,Missing,Missing
3597,"Citizens Electric Co - (PA)",42000,Pennsylvania,5,Reliability First Corporation,RFC
3600,"Citizens Electric Corporation - (MO)",29000,Missouri,6,Southeastern Electric Reliability Council,SERC
3601,"Boston Energy Marketing and Trading LLC",25000,Massachusetts,-9999,Missing,Missing
3634,"City of Nixa - (MO)",29000,Missouri,7,Southwest Power Pool,SPP
3641,"Claiborne Electric Coop, Inc",22000,Louisiana,6,Southeastern Electric Reliability Council,SERC
3644,"PUD No 1 of Clallam County",53000,Washington,8,Western Electricity Coordinating Council,WECC
3647,"City of Claremore",40000,Oklahoma,7,Southwest Power Pool,SPP
3660,"PUD No 1 of Clark County - (WA)",53000,Washington,8,Western Electricity Coordinating Council,WECC
3687,"Clark Energy Coop Inc - (KY)",21000,Kentucky,6,Southeastern Electric Reliability Council,SERC
3701,"Clark Electric Coop - (WI)",55000,Wisconsin,3,Midwest Reliability Organization,MRO
3702,"Clarksdale Public Utilities",28000,Mississippi,6,Southeastern Electric Reliability Council,SERC
3704,"City of Clarksville - (TN)",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
3705,"Clarksville Light & Water Co",5000,Arkansas,7,Southwest Power Pool,SPP
3710,"City of Clay Center - (KS)",20000,Kansas,7,Southwest Power Pool,SPP
3712,"Clay County Electric Coop Corp",5000,Arkansas,6,Southeastern Electric Reliability Council,SERC
3716,"Clay-Union Electric Corp",46000,South Dakota,3,Midwest Reliability Organization,MRO
3722,"Clarke Electric Coop Inc - (IA)",19000,Iowa,5,Reliability First Corporation,RFC
3731,"Town of Clayton",37000,North Carolina,6,Southeastern Electric Reliability Council,SERC
3732,"Town of Clayton",10000,Delaware,5,Reliability First Corporation,RFC
3739,"Clearwater Power Company",16000,Idaho,8,Western Electricity Coordinating Council,WECC
3755,"Cleveland Electric Illum Co",39000,Ohio,5,Reliability First Corporation,RFC
3757,"Clay Electric Cooperative, Inc",12000,Florida,12,Florida Reliability Coordinating Council,FRCC
3758,"City of Cleveland - (TN)",47000,Tennessee,6,Southeastern Electric Reliability Council,SERC
3762,"City of Cleveland - (OH)",39000,Ohio,5,Reliability First Corporation,RFC
